,time,step,surface,latitude,longitude,valid_time,t,gribfile_projection,y,x,point_latitude,point_longitude,heightAboveGround,t2m,inversion
2681,2023-03-02,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-02,290.0031,,308693.8474433345,1481479.8574780696,40,-80,2.0,291.27725,True
2682,2023-03-03,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-03,282.503,,308693.8474433345,1481479.8574780696,40,-80,2.0,283.1401,False
2683,2023-03-04,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-04,279.61993,,308693.8474433345,1481479.8574780696,40,-80,2.0,280.14862,False
2684,2023-03-05,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-05,279.30408,,308693.8474433345,1481479.8574780696,40,-80,2.0,280.1334,False
2685,2023-03-06,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-06,281.6792,,308693.8474433345,1481479.8574780696,40,-80,2.0,282.2932,False
2686,2023-03-07,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-07,287.36908,,308693.8474433345,1481479.8574780696,40,-80,2.0,287.69296,False
2687,2023-03-08,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-08,276.6772,,308693.8474433345,1481479.8574780696,40,-80,2.0,276.9463,False
2688,2023-03-09,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-09,277.92746,,308693.8474433345,1481479.8574780696,40,-80,2.0,278.52618,False
2689,2023-03-10,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-10,278.64856,,308693.8474433345,1481479.8574780696,40,-80,2.0,279.8827,True
2690,2023-03-11,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-11,275.55753,,308693.8474433345,1481479.8574780696,40,-80,2.0,275.7563,False
2691,2023-03-12,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-12,272.781,,308693.8474433345,1481479.8574780696,40,-80,2.0,273.1129,False
2692,2023-03-13,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-13,276.9815,,308693.8474433345,1481479.8574780696,40,-80,2.0,277.0516,False
2693,2023-03-14,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-14,272.42413,,308693.8474433345,1481479.8574780696,40,-80,2.0,272.79977,False
2694,2023-03-15,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-15,268.76416,,308693.8474433345,1481479.8574780696,40,-80,2.0,269.06345,False
2695,2023-03-16,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-16,276.79675,,308693.8474433345,1481479.8574780696,40,-80,2.0,277.7735,False
2696,2023-03-17,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-17,284.61826,,308693.8474433345,1481479.8574780696,40,-80,2.0,285.4093,False
2697,2023-03-18,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-18,277.81686,,308693.8474433345,1481479.8574780696,40,-80,2.0,277.4607,False
2698,2023-03-19,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-19,272.6763,,308693.8474433345,1481479.8574780696,40,-80,2.0,272.91418,False
2699,2023-03-20,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-20,271.25253,,308693.8474433345,1481479.8574780696,40,-80,2.0,271.47583,False
2700,2023-03-21,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-21,278.45813,,308693.8474433345,1481479.8574780696,40,-80,2.0,279.52188,True
2701,2023-03-22,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-22,281.45676,,308693.8474433345,1481479.8574780696,40,-80,2.0,284.0818,True
2702,2023-03-23,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-23,285.0521,,308693.8474433345,1481479.8574780696,40,-80,2.0,285.25314,False
2703,2023-03-24,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-24,290.48315,,308693.8474433345,1481479.8574780696,40,-80,2.0,291.14966,False
2704,2023-03-25,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-25,279.14243,,308693.8474433345,1481479.8574780696,40,-80,2.0,279.52844,False
2705,2023-03-26,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-26,288.9284,,308693.8474433345,1481479.8574780696,40,-80,2.0,289.5827,False
2706,2023-03-27,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-27,285.11957,,308693.8474433345,1481479.8574780696,40,-80,2.0,285.8332,False
2707,2023-03-28,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-28,283.33875,,308693.8474433345,1481479.8574780696,40,-80,2.0,283.6482,False
2708,2023-03-29,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-29,281.59363,,308693.8474433345,1481479.8574780696,40,-80,2.0,281.82138,False
2709,2023-03-30,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-30,282.8955,,308693.8474433345,1481479.8574780696,40,-80,2.0,283.13794,False
2710,2023-03-31,0 days,0.0,40.00603868710662,279.9922670991639,2023-03-31,281.05093,,308693.8474433345,1481479.8574780696,40,-80,2.0,282.68582,True
2711,2023-04-01,0 days,0.0,40.00603868710662,279.9922670991639,2023-04-01,284.7484,,308693.8474433345,1481479.8574780696,40,-80,2.0,285.2868,False
2712,2023-04-02,0 days,0.0,40.00603868710662,279.9922670991639,2023-04-02,278.24304,,308693.8474433345,1481479.8574780696,40,-80,2.0,278.36688,False
2713,2023-04-03,0 days,0.0,40.00603868710662,279.9922670991639,2023-04-03,281.5393,,308693.8474433345,1481479.8574780696,40,-80,2.0,282.48407,False
2714,2023-04-04,0 days,0.0,40.00603868710662,279.9922670991639,2023-04-04,288.77194,,308693.8474433345,1481479.8574780696,40,-80,2.0,291.77032,True
2715,2023-04-05,0 days,0.0,40.00603868710662,279.9922670991639,2023-04-05,294.0257,,308693.8474433345,1481479.8574780696,40,-80,2.0,295.46558,True
2716,2023-04-06,0 days,0.0,40.00603868710662,279.9922670991639,2023-04-06,299.58087,,308693.8474433345,1481479.8574780696,40,-80,2.0,300.41287,False
